"Sample","Time","ColonyFormingUnitsPerDroplet","Likelihood","LowerCI","UpperCI","GridSize","ExcludedWellPositions","ExcludedGridPositions","TotalExclusions"
"SPCC4G3.04c",0,1139.64908018248,0.0457569891002825,462.416060487325,2599.27999936081,4,"","",0
"972 h-",0,1010.72113959911,0.0518412439868866,425.101861008125,2191.92521616974,4,"","",0
"SPBC1683.01",0,3806.28342533203,0.0240554376397967,1623.1682423405,8097.57123402921,4,"","",0
"SPAC3A11.11c",0,4424.8678282677,0.000198137920546922,2070.15307663339,8491.62851284004,4,"","",0
"SPACUNK4.15",0,2088.75721268022,0.00391751048099809,963.930004235899,4071.09321464655,4,"","",0
"SPBC16E9.19",0,981.53548593591,0.0392888633942672,415.832977716474,2110.54583471764,4,"","",0
"SPBC9B6.03",0,3981.39487093864,0.0012968927789665,1798.43944324442,7921.18505615603,4,"","",0
"SPCC1494.08c",0,4461.83492403013,0.0574527162051412,1813.76219165987,10106.311377145,4,"","",0
"SPCC18.17c",0,1010.72113959911,0.0518412439868866,425.101861008125,2191.92521616974,4,"","",0
"SPCC1827.04",0,1437.60012808156,0.0106508658247947,635.73164874045,2931.35904262898,4,"","",0
"SPAC12B10.14c",0,3436.39430194824,0.046952829273224,1392.46210437931,7849.89555163521,4,"","",0
"SPAC1952.09c",0,112.101030526316,0.0513185326086405,47.169989754398,243.007971985263,4,"","",0
"SPAC1F3.10c",0,981.53548593591,0.0392888633942672,415.832977716474,2110.54583471764,4,"","",0
"SPAC26H5.07c",0,2632.40800878943,0.0053384779907754,1147.29505162621,5464.66382424631,4,"","",0
"SPAC57A7.05",0,981.53548593591,0.0392888633942672,415.832977716474,2110.54583471764,4,"","",0
"SPAC5D6.06c",0,1700.46822465749,0.0127771551273033,718.318255332807,3659.64789950095,4,"","",0
"SPBC21H7.04",0,437.103326976694,0.000373273846639974,183.921587031687,949.67748624748,4,"","",0
"SPCC162.04c",0,1201.23514640223,0.00390980707610466,518.849856060328,2521.65964323025,4,"","",0
"SPAC10F6.05c",0,1688.96149216773,0.00136596715159212,714.587350765833,3629.25016013436,4,"","",0
"SPAC144.08",0,2254.5106888,0.0345307383137603,952.307736918133,4848.97710045773,4,"","",0
"SPAC16A10.05c",0,810.489440216744,0.0673897316356306,335.32485606,1793.28892260343,4,"","",0
"SPBC16E9.11c",0,2254.5106888,0.0345307383137603,952.307736918133,4848.97710045773,4,"","",0
"SPBC215.04",0,1477.59823323838,0.0555614140755587,601.683738353762,3340.57874173766,4,"","",0
"SPBC725.02",0,810.489440216744,0.0673897316356306,335.32485606,1793.28892260343,4,"","",0
"SPBC839.11c",0,574.761854037803,0.0155190601574461,241.975586844747,1241.54683057574,4,"","",0
"SPBP8B7.25",0,3671.45543380419,0.0393157553302479,1579.41276708081,7736.37508640778,4,"","",0
"SPAC17H9.11",2,1801.30052004404,0.00944666664355296,807.564254916454,3612.38122495381,4,"","",0
"SPAC23E2.01",2,46.7461468304417,1.11145352220307e-09,24.5512328913724,81.4937214589823,4,"","",0
"SPAC8E11.07c",2,322.646477785688,0.00134355812247957,137.132648429669,691.490992279798,4,"","",0
"SPAC227.17c",2,2.05607212870334,0.0217747467683274,0.844872796453301,4.26888513006543,4,"","",0
"SPBC23G7.13c",2,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.06c",2,0.950256036803148,0.0237640777249949,0.289383175286202,2.29184927628179,4,"","",0
"SPBC691.04",2,0,1,0,0.320115312805095,4,"","",0
"SPCC794.08",2,0.18232193329838,0.26791893283428,0.0103896074620061,0.806561868501326,4,"","",0
"SPAC4F10.20",2,2205.74539535705,0.00281430101693577,1007.33907972871,4351.54745788395,4,"","",0
"SPBC119.06",2,0,1,0,0.320115312805095,4,"","",0
"SPBC18E5.07",2,649.195671304002,0.0428088429241253,264.185790797329,1466.28164633775,4,"","",0
"SPBC405.04c",2,468.473308986652,0.0386009146826479,193.520059546901,1040.00520827247,4,"","",0
"SPBC776.15c",2,0.344140603394663,0.00316429383273934,0.0572120115651111,1.06326224275273,4,"","",0
"SPAC22F3.10c",2,0.18232193329838,0.26791893283428,0.0103896074620061,0.806561868501326,4,"","",0
"SPBC1711.13",2,2.80370588907309,0.00199643791364031,1.18276871346122,5.86916063795303,4,"","",0
"SPBC29A3.01",2,28.970078008834,0.00206519240601883,12.0927670289402,63.4126981883336,4,"","",0
"SPCC162.12",2,1139.64908018248,0.0457569891002825,462.416060487325,2599.27999936081,4,"","",0
"SPAC26F1.10c",2,705.623670191077,0.00215354041170143,324.901949990257,1378.34161853056,4,"","",0
"SPCC1753.02c",2,981.53548593591,0.0392888633942672,415.832977716474,2110.54583471764,4,"","",0
"SPAC227.04",2,18.6580494391103,0.0216014972793669,8.16066411047878,38.475396588328,4,"","",0
"SPBC17G9.10",2,5910.003849171,0.0454092604955997,2397.83552285447,13393.6348119352,4,"","",0
"SPAC1556.02c",2,6.14095511587383,0.00665771183439351,2.69227645898636,12.6327401307797,4,"","",0
"SPCC4G3.04c",2,0.18232193329838,0.26791893283428,0.0103896074620061,0.806561868501326,4,"","",0
"972 h-",2,3044.48774878696,0.0530404351147314,1279.3270748263,6608.69187156742,4,"","",0
"SPBC1683.01",2,2078.59258570858,0.0012600381745923,959.95767700531,4048.58043883393,4,"","",0
"SPAC3A11.11c",2,2439.71605769306,0.0686365091256382,1008.52665359479,5402.9823425115,4,"","",0
"SPACUNK4.15",2,1388.78562292511,0.012091738422176,575.470015183753,3072.18694116738,4,"","",0
"SPBC16E9.19",2,889.684343833797,0.0195683799464363,357.99475701132,2052.04885398705,4,"","",0
"SPBC9B6.03",2,629.681874532278,0.00633375074785298,279.469379562375,1277.25009684666,4,"","",0
"SPCC1494.08c",2,1698.17648140305,0.00430044068146491,770.285778639219,3365.01749386221,4,"","",0
"SPCC18.17c",2,0.171475573552589,0.0840983361749291,0.00978302731756365,0.755360405281684,4,"","",0
"SPCC1827.04",2,4570.90144887317,0.0227359490302058,1996.0019774907,9438.52055395869,4,"","",0
"SPAC12B10.14c",2,4190.82095284935,0.0124780764072585,1734.02669493744,9284.53359956768,4,"","",0
"SPAC1952.09c",2,2.02914463421614,0.00671660148971444,0.83485189217114,4.20443690120969,4,"","",0
"SPAC1F3.10c",2,0,1,0,0.320115312805095,4,"","",0
"SPAC26H5.07c",2,1798.23484163025,0.0192094278015728,748.307733473953,3942.86832230237,4,"","",0
"SPAC57A7.05",2,629.681874532278,0.00633375074785298,279.469379562375,1277.25009684666,4,"","",0
"SPAC5D6.06c",2,0.171475573552589,0.0840983361749291,0.00978302731756365,0.755360405281684,4,"","",0
"SPBC21H7.04",2,0,1,0,0.320115312805095,4,"","",0
"SPCC162.04c",2,1262.59443525101,0.0233776879387896,538.992999030313,2683.4959867763,4,"","",0
"SPAC10F6.05c",2,608.706764155254,0.0625059011247953,252.31149591699,1340.83691407209,4,"","",0
"SPAC144.08",2,2270.66962881172,0.000158657538112386,1088.22677698581,4268.11402767761,4,"","",0
"SPAC16A10.05c",2,323.877285611919,0.0123609670462219,137.538314196908,694.729078362417,4,"","",0
"SPBC16E9.11c",2,1218.21336835031,0.0382466042408754,524.56218726002,2564.78525169206,4,"","",0
"SPBC215.04",2,733.753208563397,0.0268391437574471,311.691541863202,1568.29061681952,4,"","",0
"SPBC725.02",2,686.973527562509,0.0062461808870159,296.684912409181,1438.60705099855,4,"","",0
"SPBC839.11c",2,165.852872917905,0.00666972545941469,72.7291669971919,341.196008716055,4,"","",0
"SPBP8B7.25",2,1098.44406247864,0.0127376165044289,450.39773571221,2470.66044364253,4,"","",0
"SPAC17H9.11",4,227.954497327849,0.00114707790289698,105.502809221673,443.073833698296,4,"","",0
"SPAC23E2.01",4,0,1,0,0.320115312805095,4,"","",0
"SPAC8E11.07c",4,24.4614455427756,0.000907008815316329,11.3971116816918,47.1855874993712,4,"","",0
"SPAC227.17c",4,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.13c",4,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.06c",4,0,1,0,0.320115312805095,4,"","",0
"SPBC691.04",4,0,1,0,0.320115312805095,4,"","",0
